Titulo;Relator;Data de publicação;Data de julgamento;Órgão julgador;Ementa
HC 208219 ED;ALEXANDRE DE MORAES;01/12/2021;23/11/2021;Tribunal Pleno;"Ementa: EMBARGOS DE DECLARAÇÃO RECEBIDOS COMO AGRAVO REGIMENTAL. HABEAS CORPUS. IMPETRAÇÃO CONTRA DECISÃO DE MINISTRO DO SUPREMO TRIBUNAL FEDERAL. IMPOSSIBILIDADE. APLICAÇÃO ANALÓGICA DA SÚMULA 606/STF. PRECEDENTES.     1. Não cabe ao SUPREMO TRIBUNAL FEDERAL conhecer de Habeas Corpus impetrado contra decisão proferida por Ministro do STF. Incidência, por analogia, da Súmula 606/STF (cf. HC 136.097-AgR, Rel. Min. LUIZ FUX, Tribunal Pleno, Dje de 3/11/2016; HC 132.400-AgR, Rel. Min. ROSA WEBER, Tribunal Pleno, DJe de 6/9/2016 e HC 97.009, Rel. Min. MARCO AURÉLIO, Rel. p/ Acórdão: Min. TEORI ZAVASCKI, Tribunal Pleno, DJe de 4/4/2014).     2. Embargos de Declaração recebidos como Agravo Regimental, ao qual se nega provimento."
HC 205332 AgR;EDSON FACHIN;09/12/2021;11/11/2021;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSO PENAL. PACIENTE COM DEFESA CONSTITUÍDA. WRIT IMPETRADO POR TERCEIRO. INCOGNOSCIBILIDADE.     1. O habeas corpus constitui relevantíssima garantia constitucional voltada à tutela do direito de locomoção do paciente que, para a consecução dessa finalidade, conta, em regra, com irrestrita legitimidade ativa.    2. Considerando as peculiaridades do caso concreto, não é cabível o manejo da via do habeas corpus por terceiro, mormente se considerado que há defesa técnica constituída e atuante em favor do paciente. Compreensão diversa, além de possibilitar eventual desvio de finalidade do writ constitucional, poderia propiciar o atropelo da estratégia defensiva, consequência que não se compatibiliza com a protetiva destinação constitucional do remédio processual. Precedentes    3. Agravo regimental desprovido.
HC 205336 AgR;EDSON FACHIN;09/12/2021;11/11/2021;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSO PENAL. IMPETRAÇÃO CONTRA DECISÃO MONOCRÁTICA DE MINISTRO DO SUPREMO TRIBUNAL FEDERAL. NÃO CONHECIMENTO. INEXISTÊNCIA DE ILEGALIDADE EVIDENTE OU TERATOLOGIA. DESCABIMENTO DE SUPERAÇÃO SUMULAR.    1. A teor da Súmula 606/STF, é inadmissível a impetração de writ contra ato de Ministro Relator, de Turma ou do próprio Tribunal Pleno.     2. Agravo regimental desprovido.
HC 203200 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Alteração do quadro processual. Prejuízo. Jurisprudência do Supremo Tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. Esta Corte firmou entendimento no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli (oportunidade em que se verificou o empate na votação), o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Veja-se o HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin. De modo que o processo deve ser extinto sem resolução do mérito.    4. A orientação desta Corte é no sentido de que a “alteração superveniente do quadro processual, consubstanciada na modificação do decisum objurgado, torna impetração prejudicada. Precedentes: HC 141.122, Primeira Turma, Red. p/o acórdão Min. Roberto Barroso, Dje de 8/10/2018; e HC 141.156-AgR, Segunda Turma, Rel. Min. Edson Fachin, Dje de 15/2/2018” (HC 165.772-AgR, Rel. Min. Luiz Fux).     5. Ausência de situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.    6. Agravo regimental a que se nega provimento."
HC 204207 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"Ementa: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Jurisprudência do Supremo tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal (STF) é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (cf. MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. O STF firmou orientação no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli – oportunidade em que se verificou o empate na votação –, o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Refiro-me ao HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin, em Sessão plenária virtual de 12 a 19 de junho de 2020. De modo que o processo deve ser extinto sem resolução do mérito.    4. Ausência de situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.    5. Agravo regimental a que se nega provimento."
HC 204494 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Alteração do quadro processual. Prejuízo. Jurisprudência do Supremo tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal (STF) é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. O STF firmou entendimento no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli (oportunidade em que se verificou o empate na votação), o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Veja-se o HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin. De modo que o processo deve ser extinto sem resolução do mérito.    4. A jurisprudência desta Corte é no sentido de que a “alteração superveniente do quadro processual, consubstanciada na modificação do decisum objurgado, torna impetração prejudicada. Precedentes: HC 141.122, Primeira Turma, Red. p/o acórdão Min. Roberto Barroso, Dje de 8/10/2018; e HC 141.156-AgR, Segunda Turma, Rel. Min. Edson Fachin, Dje de 15/2/2018” (HC 165.772-AgR, Rel. Min. Luiz Fux).     5. Ausência de situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.    6. Agravo regimental a que se nega provimento."
HC 204857 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Reiteração de pedido. Jurisprudência do Supremo Tribunal Federal. Ausência de teratologia, ilegalidade flagrante ou abuso de poder.    1. O Supremo Tribunal Federal (STF) firmou orientação no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    2. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli (oportunidade em que se verificou o empate na votação), o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Refiro-me ao HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin, em Sessão plenária virtual de 12 a 19 de junho de 2020. De modo que o processo deve ser extinto sem resolução do mérito.    3. A jurisprudência do STF é no sentido de que a “mera reiteração de pedido, que se limita a reproduzir, sem qualquer inovação de fato e/ou de direito, os mesmos fundamentos subjacentes a postulação anterior, torna inviável o próprio conhecimento da ação de ‘habeas corpus’” (HC 118.043-AgR, Rel. Min. Celso de Mello).    4. A inadequação da via eleita, não há nos autos situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.    5. Agravo regimental a que se nega provimento."
HC 203879 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Jurisprudência do Supremo tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal (STF) é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. O STF firmou orientação no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli – oportunidade em que se verificou o empate na votação –, o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Refiro-me ao HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin. De modo que o processo deve ser extinto sem resolução do mérito.    4. As peças que instruem a impetração não evidenciam situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.     5. Agravo regimental a que se nega provimento."
HC 204649 AgR-segundo;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Jurisprudência do Supremo tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. Esta Corte tem entendimento no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli (oportunidade em que se verificou o empate na votação), o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Veja-se o HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin. De modo que o processo deve ser extinto sem resolução do mérito.    4. Ausência de situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.    5. Agravo regimental a que se nega provimento."
HC 204660 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Jurisprudência do Supremo Tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal (STF) é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (cf. MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. O STF firmou orientação no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli (oportunidade em que se verificou o empate na votação), o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Refiro-me ao HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin. De modo que o processo deve ser extinto sem resolução do mérito.    4. Ausência de situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.    5. Agravo regimental a que se nega provimento."
